ssl_setting,simulation_num,agent_num,population_size,channel_capacity,can_abstract,generation,score
random,2,4,10,5,1,9,0.8
random,2,5,10,5,1,9,0.8
random,2,6,10,5,1,9,0.8
random,2,7,10,5,1,9,0.6
random,2,8,10,5,1,9,0.8
random,2,9,10,5,1,9,0.8
random,3,0,10,5,1,0,0.4
random,3,1,10,5,1,0,0.8
random,3,2,10,5,1,0,0.4
random,3,3,10,5,1,0,0.6
random,3,4,10,5,1,0,0.2
random,3,5,10,5,1,0,0.8
random,3,6,10,5,1,0,0.6
random,3,7,10,5,1,0,0.4
random,3,8,10,5,1,0,0.6
random,3,9,10,5,1,0,0.6
random,3,0,10,5,1,1,0.8
random,3,1,10,5,1,1,0.6
random,3,2,10,5,1,1,0.8
random,3,3,10,5,1,1,0.2
random,3,4,10,5,1,1,0.8
random,3,5,10,5,1,1,0.4
random,3,6,10,5,1,1,0.6
random,3,7,10,5,1,1,0.8
random,3,8,10,5,1,1,0.8
random,3,9,10,5,1,1,1.0
random,3,0,10,5,1,2,0.6
random,3,1,10,5,1,2,0.8
random,3,2,10,5,1,2,0.8
random,3,3,10,5,1,2,0.6
random,3,4,10,5,1,2,0.4
random,3,5,10,5,1,2,0.6
random,3,6,10,5,1,2,0.8
random,3,7,10,5,1,2,1.0
random,3,8,10,5,1,2,0.2
random,3,9,10,5,1,2,0.6
random,3,0,10,5,1,3,0.8
random,3,1,10,5,1,3,0.8
random,3,2,10,5,1,3,0.6
random,3,3,10,5,1,3,0.6
random,3,4,10,5,1,3,0.6
random,3,5,10,5,1,3,1.0
random,3,6,10,5,1,3,0.8
random,3,7,10,5,1,3,1.0
random,3,8,10,5,1,3,0.4
random,3,9,10,5,1,3,0.8
random,3,0,10,5,1,4,0.8
random,3,1,10,5,1,4,0.8
random,3,2,10,5,1,4,0.8
random,3,3,10,5,1,4,1.0
random,3,4,10,5,1,4,0.8
random,3,5,10,5,1,4,0.8
random,3,6,10,5,1,4,0.4
random,3,7,10,5,1,4,0.8
random,3,8,10,5,1,4,0.6
random,3,9,10,5,1,4,0.8
random,3,0,10,5,1,5,0.8
random,3,1,10,5,1,5,0.8
random,3,2,10,5,1,5,0.4
random,3,3,10,5,1,5,0.4
random,3,4,10,5,1,5,1.0
random,3,5,10,5,1,5,0.6
random,3,6,10,5,1,5,0.8
random,3,7,10,5,1,5,0.6
random,3,8,10,5,1,5,0.4
random,3,9,10,5,1,5,0.6
random,3,0,10,5,1,6,0.8
random,3,1,10,5,1,6,1.0
random,3,2,10,5,1,6,0.8
random,3,3,10,5,1,6,0.6
random,3,4,10,5,1,6,1.0
random,3,5,10,5,1,6,1.0
random,3,6,10,5,1,6,0.6
random,3,7,10,5,1,6,0.4
random,3,8,10,5,1,6,0.8
random,3,9,10,5,1,6,0.4
random,3,0,10,5,1,7,0.4
random,3,1,10,5,1,7,0.8
random,3,2,10,5,1,7,0.8
random,3,3,10,5,1,7,0.8
random,3,4,10,5,1,7,0.6
random,3,5,10,5,1,7,0.8
random,3,6,10,5,1,7,0.6
random,3,7,10,5,1,7,0.8
random,3,8,10,5,1,7,0.6
random,3,9,10,5,1,7,0.4
random,3,0,10,5,1,8,0.4
random,3,1,10,5,1,8,0.8
random,3,2,10,5,1,8,0.8
random,3,3,10,5,1,8,1.0
random,3,4,10,5,1,8,0.6
random,3,5,10,5,1,8,0.8
random,3,6,10,5,1,8,0.6
random,3,7,10,5,1,8,0.6
random,3,8,10,5,1,8,0.6
random,3,9,10,5,1,8,0.6
random,3,0,10,5,1,9,0.6
random,3,1,10,5,1,9,0.2
random,3,2,10,5,1,9,0.8
random,3,3,10,5,1,9,0.8
random,3,4,10,5,1,9,0.6
random,3,5,10,5,1,9,0.6
random,3,6,10,5,1,9,0.8
random,3,7,10,5,1,9,0.8
random,3,8,10,5,1,9,0.8
random,3,9,10,5,1,9,0.6
random,4,0,10,5,1,0,0.6
random,4,1,10,5,1,0,0.2
random,4,2,10,5,1,0,0.4
random,4,3,10,5,1,0,0.6
random,4,4,10,5,1,0,0.2
random,4,5,10,5,1,0,0.4
random,4,6,10,5,1,0,0.2
random,4,7,10,5,1,0,0.4
random,4,8,10,5,1,0,0.4
random,4,9,10,5,1,0,1.0
random,4,0,10,5,1,1,0.6
random,4,1,10,5,1,1,0.6
random,4,2,10,5,1,1,0.8
random,4,3,10,5,1,1,0.2
random,4,4,10,5,1,1,0.8
random,4,5,10,5,1,1,0.6
random,4,6,10,5,1,1,0.6
random,4,7,10,5,1,1,1.0
random,4,8,10,5,1,1,0.8
random,4,9,10,5,1,1,0.6
random,4,0,10,5,1,2,0.6
random,4,1,10,5,1,2,0.4
random,4,2,10,5,1,2,1.0
random,4,3,10,5,1,2,0.8
random,4,4,10,5,1,2,0.8
random,4,5,10,5,1,2,1.0
random,4,6,10,5,1,2,0.8
random,4,7,10,5,1,2,0.6
random,4,8,10,5,1,2,0.6
